DATE,VIXCLS
1993-05-09,12.7300000000000000
1993-05-16,13.9560000000000000
1993-05-23,14.2200000000000000
1993-05-30,13.5180000000000000
1993-06-06,13.3875000000000000
1993-06-13,13.7580000000000000
1993-06-20,12.0180000000000000
1993-06-27,11.8880000000000000
1993-07-04,11.3000000000000000
1993-07-11,12.4900000000000000
1993-07-18,10.8420000000000000
1993-07-25,11.4980000000000000
1993-08-01,11.4020000000000000
1993-08-08,11.8060000000000000
1993-08-15,12.2680000000000000
1993-08-22,11.6740000000000000
1993-08-29,12.0200000000000000
1993-09-05,11.6200000000000000
1993-09-12,12.6275000000000000
1993-09-19,12.9520000000000000
1993-09-26,14.2960000000000000
1993-10-03,12.4260000000000000
1993-10-10,12.7360000000000000
1993-10-17,11.5840000000000000
1993-10-24,11.3880000000000000
