Day,Barrels
3/14/2014,1001111
3/7/2014,1001623
2/28/2014,1003492
2/21/2014,1001310
2/14/2014,1001808
2/7/2014,1004308
1/31/2014,1002474
1/24/2014,1007787
1/17/2014,1011556
1/10/2014,1015515
1/3/2014,1025775
12/27/2013,1023985
12/20/2013,1030603
12/13/2013,1043309
12/6/2013,1055906
11/29/2013,1061048
11/22/2013,1068135
11/15/2013,1069774
11/8/2013,1081508
11/1/2013,1087433
10/25/2013,1096218
10/18/2013,1102009
10/11/2013,1098310
10/4/2013,1098421
9/27/2013,1096767
9/20/2013,1091735
9/13/2013,1090254
9/6/2013,1096331
8/30/2013,1092643
8/23/2013,1090878
8/16/2013,1088711
8/9/2013,1091531
8/2/2013,1093386
7/26/2013,1092744
7/19/2013,1091128
7/12/2013,1093410
7/5/2013,1093620
6/28/2013,1100719
6/21/2013,1115384
6/14/2013,1106068
6/7/2013,1099306
5/31/2013,1086394
5/24/2013,1087570
5/17/2013,1077821
5/10/2013,1073593
5/3/2013,1070941
4/26/2013,1067330
4/19/2013,1054975
4/12/2013,1056915
4/5/2013,1054287
3/29/2013,1048801
3/22/2013,1048912
3/15/2013,1050823
3/8/2013,1052279
3/1/2013,1057861
2/22/2013,1060384
2/15/2013,1066279
2/8/2013,1067528
2/1/2013,1074891
1/25/2013,1075095
1/18/2013,1073122
1/11/2013,1075759
1/4/2013,1072323
12/28/2012,1061799
12/21/2012,1071822
12/14/2012,1068820
12/7/2012,1070765
11/30/2012,1065552
11/23/2012,1059620
11/16/2012,1061047
11/9/2012,1067257
11/2/2012,1071985
10/26/2012,1071486
10/19/2012,1071589
10/12/2012,1067619
10/5/2012,1070293
9/28/2012,1074819
9/21/2012,1077250
9/14/2012,1079917
9/7/2012,1068515
8/31/2012,1065745
8/24/2012,1075357
8/17/2012,1070695
8/10/2012,1073700
8/3/2012,1078282
7/27/2012,1079372
7/20/2012,1086595
7/13/2012,1076465
7/6/2012,1075035
6/29/2012,1072240
6/22/2012,1076315
6/15/2012,1073718
6/8/2012,1062637
6/1/2012,1061481
5/25/2012,1056348
5/18/2012,1050852
5/11/2012,1049795
5/4/2012,1046923
4/27/2012,1043752
4/20/2012,1041846
4/13/2012,1041865
4/6/2012,1044090
3/30/2012,1048243
3/23/2012,1035877
3/16/2012,1029557
3/9/2012,1028013
3/2/2012,1032456
2/24/2012,1033857
2/17/2012,1033319
2/10/2012,1030067
2/3/2012,1034037
1/27/2012,1029880
1/20/2012,1021826
1/13/2012,1026101
1/6/2012,1028164
12/30/2011,1021859
12/23/2011,1018458
12/16/2011,1015357
12/9/2011,1033526
12/2/2011,1031522
11/25/2011,1022191
11/18/2011,1014530
11/11/2011,1018429
11/4/2011,1027130
10/28/2011,1042691
10/21/2011,1040885
10/14/2011,1040185
10/7/2011,1051107
9/30/2011,1052618
9/23/2011,1057250
9/16/2011,1056138
9/9/2011,1061390
9/2/2011,1066011
8/26/2011,1070340
8/19/2011,1065994
8/12/2011,1062019
8/5/2011,1057473
7/29/2011,1065611
7/22/2011,1063055
7/15/2011,1051625
7/8/2011,1047827
7/1/2011,1043513
6/24/2011,1043020
6/17/2011,1043343
6/10/2011,1040248
6/3/2011,1040870
5/27/2011,1039179
5/20/2011,1031942
5/13/2011,1025181
5/6/2011,1025247
4/29/2011,1018973
4/22/2011,1011452
4/15/2011,1008543
4/8/2011,1015282
4/1/2011,1020233
3/25/2011,1020327
3/18/2011,1016998
3/11/2011,1017896
3/4/2011,1023018
2/25/2011,1029430
2/18/2011,1035959
2/11/2011,1048045
2/4/2011,1056430
1/28/2011,1053321
1/21/2011,1047782
1/14/2011,1045386
1/7/2011,1043022
12/31/2010,1042318
12/24/2010,1048644
12/17/2010,1057803
12/10/2010,1063806
12/3/2010,1079441
11/26/2010,1085070
11/19/2010,1085113
11/12/2010,1085370
11/5/2010,1094474
10/29/2010,1106559
10/22/2010,1112019
10/15/2010,1111433
10/8/2010,1113455
10/1/2010,1118129
9/24/2010,1118289
9/17/2010,1123403
9/10/2010,1120106
9/3/2010,1123024
8/27/2010,1122743
8/20/2010,1118706
8/13/2010,1109785
8/6/2010,1104448
7/30/2010,1104322
7/23/2010,1098220
7/16/2010,1089222
7/9/2010,1084093
7/2/2010,1080907
6/25/2010,1080628
6/18/2010,1077053
6/11/2010,1074374
6/4/2010,1069938
5/28/2010,1070231
5/21/2010,1072495
5/14/2010,1066661
5/7/2010,1065461
4/30/2010,1062064
4/23/2010,1052273
4/16/2010,1039380
4/9/2010,1028636
4/2/2010,1028921
3/26/2010,1021594
3/19/2010,1018388
3/12/2010,1018037
3/5/2010,1020480
2/26/2010,1025758
2/19/2010,1026108
2/12/2010,1024665
2/5/2010,1027082
1/29/2010,1025319
1/22/2010,1024548
1/15/2010,1030282
1/8/2010,1031862
1/1/2010,1028319
12/25/2009,1033280
12/18/2009,1041406
12/11/2009,1055550
12/4/2009,1068230
11/27/2009,1072485
11/20/2009,1067066
11/13/2009,1067941
11/6/2009,1072101
10/30/2009,1071131
10/23/2009,1079524
10/16/2009,1081130
10/9/2009,1085270
10/2/2009,1091072
9/25/2009,1087478
9/18/2009,1082867
9/11/2009,1074817
9/4/2009,1078090
8/28/2009,1083109
8/21/2009,1087571
8/14/2009,1090712
8/7/2009,1103509
7/31/2009,1102163
7/24/2009,1104921
7/17/2009,1099337
7/10/2009,1097480
7/3/2009,1095977
6/26/2009,1090644
6/19/2009,1086257
6/12/2009,1080943
6/5/2009,1082490
5/29/2009,1084218
5/22/2009,1069141
5/15/2009,1066938
5/8/2009,1067702
5/1/2009,1068948
4/24/2009,1060609
4/17/2009,1055185
4/10/2009,1043847
4/3/2009,1035682
3/27/2009,1033007
3/20/2009,1026592
3/13/2009,1023756
3/6/2009,1020705
2/27/2009,1018313
2/20/2009,1017280
2/13/2009,1020225
2/6/2009,1026413
1/30/2009,1023913
1/23/2009,1022490
1/16/2009,1018956
1/9/2009,1007165
1/2/2009,998875
12/26/2008,991842
12/19/2008,995980
12/12/2008,997569
12/5/2008,1000303
11/28/2008,993680
11/21/2008,994066
11/14/2008,984373
11/7/2008,981596
10/31/2008,980551
10/24/2008,975395
10/17/2008,968685
10/10/2008,959170
10/3/2008,947407
9/26/2008,927734
9/19/2008,927254
9/12/2008,945121
9/5/2008,957096
8/29/2008,972295
8/22/2008,975909
8/15/2008,973648
8/8/2008,965365
8/1/2008,970827
7/25/2008,968297
7/18/2008,965760
7/11/2008,963797
7/4/2008,956308
6/27/2008,959451
6/20/2008,957211
6/13/2008,951737
6/6/2008,951145
5/30/2008,950913
5/23/2008,950651
5/16/2008,960394
5/9/2008,960812
5/2/2008,955771
4/25/2008,950280
4/18/2008,941448
4/11/2008,940660
4/4/2008,948665
3/28/2008,957327
3/21/2008,955827
3/14/2008,962360
3/7/2008,965271
2/29/2008,958463
2/22/2008,962921
2/15/2008,960263
2/8/2008,963970
2/1/2008,963194
1/25/2008,953837
1/18/2008,954789
1/11/2008,952637
1/4/2008,949024
12/28/2007,956865
12/21/2007,964224
12/14/2007,974682
12/7/2007,983033
11/30/2007,984579
11/23/2007,988370
11/16/2007,990153
11/9/2007,997031
11/2/2007,996387
